[FTL] 2016-07-30 06:59:23 | Error: FATAL:  database "lisk_main" does not exist

[inf] 2016-07-30 06:59:23 | Lisk started: 0.0.0.0:8000
[inf] 2016-07-30 07:01:55 | Lisk started: 0.0.0.0:7000
[inf] 2016-07-30 07:02:00 | Modules ready and launched
[inf] 2016-07-30 07:02:00 | Blocks 1
[ERR] 2016-07-30 07:02:00 | [object Object]
[ERR] 2016-07-30 07:02:00 | Blockchain failed at  - 1
[ERR] 2016-07-30 07:02:00 | Blockchain clipped
[ERR] 2016-07-30 07:02:00 | Error: ERROR:  invalid input syntax for integer: "NaN"
LINE 1: ...(CASE WHEN b."height" % 101 > 0 THEN 1 ELSE 0 END))) = 'NaN'
                                                                  ^

[inf] 2016-07-30 07:02:00 | Peers ready, stored 10
[inf] 2016-07-30 07:02:01 | Checking blockchain on 93.104.209.17:8000
[FTL] 2016-07-30 07:02:01 | System error - {"message":"new BigNumber() not a number: undefined","stack":"BigNumber Error: new BigNumber() not a number: undefined\n    at ifExceptionsThrow (/Users/adrianjager/dev/github/lisk/helpers/bignum.js:477:17)\n    at new BigNumber (/Users/adrianjager/dev/github/lisk/helpers/bignum.js:207:21)\n    at BigNumber (/Users/adrianjager/dev/github/lisk/helpers/bignum.js:102:16)\n    at /Users/adrianjager/dev/github/lisk/modules/loader.js:256:7\n    at /Users/adrianjager/dev/github/lisk/modules/transport.js:499:3\n    at /Users/adrianjager/dev/github/lisk/node_modules/async/lib/async.js:676:51\n    at /Users/adrianjager/dev/github/lisk/node_modules/async/lib/async.js:726:13\n    at /Users/adrianjager/dev/github/lisk/node_modules/async/lib/async.js:52:16\n    at /Users/adrianjager/dev/github/lisk/node_modules/async/lib/async.js:264:21\n    at /Users/adrianjager/dev/github/lisk/node_modules/async/lib/async.js:44:16"}
[inf] 2016-07-30 07:02:01 | Cleaning up...
[WRN] 2016-07-30 07:18:12 | Removing peer GET http://104.237.0.216:8000/peer/list
[WRN] 2016-07-30 07:18:16 | Removing peer GET http://104.236.23.109:8000/peer/list
[inf] 2016-07-30 07:43:04 | Lisk started: 0.0.0.0:4000
[inf] 2016-07-30 07:43:05 | Modules ready and launched
[inf] 2016-07-30 07:43:05 | Blocks 1
[inf] 2016-07-30 07:43:06 | Blockchain ready
[inf] 2016-07-30 07:43:06 | Peers ready, stored 225
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 8273455169423958419L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 12254605294831056546L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 14018336151296112016L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 2003981962043442425L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 15685993315437640088L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 13796903232533379929L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 10395427086746342233L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 10555862272344793163L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 9090572627256317041L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 6147291942291731858L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 1478505779553195737L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 3485190523478756562L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 7749538982696555450L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11858068254874463650L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11959294293312794939L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 6572481065061292413L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 537318935439898807L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11194005483892021001L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 12689367895996075612L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 12937672077630275226L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 6719024567117648644L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 2185933284430885504L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 263761216888896549L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 6996737717246838071L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 17769700073017685523L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 18101328368221611426L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 3654804916322462690L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 6214967903930344618L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 6700417780469657062L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 17416795040643460696L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 7806545753492919148L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 16807489144327319524L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11009807324631489084L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 5380829552614149409L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 18181157191600196376L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 15279149762694772854L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 15867701141673224975L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 13787002016364430124L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 5312766513260345125L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11613981515632820140L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 4351572711388220555L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11595026565287740051L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 3466073897179860882L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 4331258378288911563L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 9928719876370886655L
